,id,iata,icao,name,location,street_number,street,city,county,state,country_iso,country,postal_code,phone,latitude,longitude,uct,website
0,2224,EZE,SAEZ,Ministro Pistarini International Airport,"Buenos Aires, Argentina",,"Autopista Tte Gral. Ricchieri Km 33,5",Ezeiza,Ezeiza,Provincia de Buenos Aires,AR,Argentina,B1802,+54 11 5480-6111,-34.815006,-58.53483,-180,http://www.aa2000.com.ar/
0,5011,MVD,SUMU,Carrasco Gral. Cesáreo L. Berisso International Airport,"Montevideo, Uruguay",,101,Ciudad de la Costa,,Departamento de Canelones,UY,Uruguay,14000,+598 2604 0329,-34.83682,-56.016518,-180,http://www.aeropuertodecarrasco.com.uy/
0,8079,VVI,SLVR,Viru Viru International Airport,"Santa Cruz de la Sierra, Bolivia",,Avenida G77,Santa Cruz de la Sierra,,Departamento de Santa Cruz,BO,Bolivia,,+591 3 3385000,-17.64312,-63.140755,-240,http://www.sabsa.aero/
0,5794,PBM,SMJP,Johan Adolf Pengel International Airport,"Paramaribo, Suriname",,,Paramaribo,Zuid-Para,Para,SR,Suriname,,+597 401-348,5.456003,-55.200058,-180,https://www.japi-airport.com/
0,4317,LPB,SLLP,El Alto International Airport,"La Paz, Bolivia",,,El Alto,,La Paz Department,BO,Bolivia,,+591 2 2157300,-16.510248,-68.18829,-240,
0,7166,SYD,YSSY,Sydney Airport (Kingsford Smith Airport),"Sydney, New South Wales, Australia",,,Sydney,,New South Wales,AU,Australia,2020,+61 2 9667 9111,-33.939922,151.17528,660,http://www.sydneyairport.com.au/
0,2320,FLN,SBFL,Hercílio Luz International Airport,"Florianópolis, Santa Catarina, Brazil",3393,Avenida Deputado Diomício Freitas,,Florianópolis,Santa Catarina,BR,Brazil,88047-900,+55 48 3331-4000,-27.670118,-48.545967,-180,http://www.infraero.gov.br/index.php/br/aeroportos/santa-catarina/aeroporto-internacional-de-florianopolis.html
0,4686,MIA,KMIA,Miami International Airport,"Miami, Florida, United States",2100,NW 42nd Ave,Miami,Miami-Dade County,Florida,US,United States,33126,+1 305-876-7000,25.795864,-80.28705,-240,http://www.miami-airport.com/
0,3406,JFK,KJFK,John F. Kennedy International Airport,"New York City, New York, United States",,,,Queens County,New York,US,United States,11430,+1 718-244-4444,40.64131,-73.77814,-240,https://www.jfkairport.com/
0,1745,DFW,KDFW,Dallas/Fort Worth International Airport,"Dallas / Fort Worth, Texas, United States",2400,Aviation Drive,DFW Airport,,Texas,US,United States,75261,+1 972-973-3112,32.89981,-97.04034,-300,http://www.dfwairport.com/
0,877,BOG,SKBO,El Dorado International Airport,"Bogotá, Colombia",,,,,Bogotá,CO,Colombia,,+57 1 2662000,4.7014127,-74.14449,-300,http://www.eldorado.aero/
0,4598,MEM,KMEM,Memphis International Airport,"Memphis, Tennessee, United States",2491,Winchester Road,Memphis,Shelby County,Tennessee,US,United States,38116,+1 901-922-8000,35.04207,-89.97917,-300,http://www.flymemphis.com/
0,921,BQN,TJBQ,Rafael Hernández Airport,"Aguadilla, Puerto Rico, United States",,Hangar Road,Aguadilla Pueblo,,Aguadilla,PR,Puerto Rico,603,+1 787-890-6075,18.495396,-67.135574,-240,http://www.prpa.gobierno.pr/
0,1613,CWB,SBCT,Afonso Pena International Airport,"Curitiba, Paraná, Brazil",,Av. Rocha Pombo,,São José dos Pinhais,Paraná,BR,Brazil,83010-900,+55 41 3381-1515,-25.532713,-49.17248,-180,http://www.infraero.gov.br/index.php/br/aeroportos/parana/aeroporto-afonso-pena.html
0,4202,LIS,LPPT,Lisbon Portela Airport,"Lisbon, Portugal",,Alameda das Comunidades Portuguesas,Lisboa,,Lisboa,PT,Portugal,1700-111,+351 21 841 3500,38.775593,-9.135366,60,http://www.ana.pt/pt-PT/Aeroportos/Lisboa/Lisboa/Paginas/HomeLisboa.aspx
0,5640,OPO,LPPR,Francisco de Sá Carneiro Airport,"Porto, Portugal",,,Maia,,Porto District,PT,Portugal,4470-558,+351 22 943 2400,41.24212,-8.678552,60,http://www.ana.pt/pt-PT/Aeroportos/Porto/Porto/Paginas/HomePorto.aspx
0,4565,MDE,SKRG,José María Córdova International Airport,"Medellín, Colombia",,,,Rionegro,Antioquia,CO,Colombia,54047,+57 4 4025110,6.1707635,-75.42762,-300,http://www.aeropuertorionegro.co/
0,7767,UIO,SEQM,Mariscal Sucre International Airport,"Quito, Ecuador",,,Quito,Distrito Metropolitano de Quito,Pichincha,EC,Ecuador,170183,+593 2-395-4200,-0.1243826,-78.36049,-300,http://aeropuertoquito.aero/
0,1254,CFB,SBCB,Cabo Frio International Airport,"Cabo Frio, Rio de Janeiro, Brazil",s/n,Estrada Velha do Arraial do Cabo,,Cabo Frio,Rio de Janeiro,BR,Brazil,28900-000,+55 22 2647-9500,-22.925629,-42.079235,-180,http://www.aeroportodecabofrio.com.br/
0,1343,CJC,SCCF,El Loa Airport,"Calama, Chile",,,Calama,El Loa,Región de Antofagasta,CL,Chile,,,-22.49511,-68.907906,-180,http://www.avis.cl/sucursal/calama
0,6150,PTY,MPTO,Tocumen International Airport,"Panama City, Panama",,Avenida Domingo Díaz,Panamá,Panamá,Panamá,PA,Panama,,+507 238-2700,9.066701,-79.387375,-300,http://www.tocumenpanama.aero/
0,8947,ZRH,LSZH,Zürich Airport,"Zürich, Switzerland",,,Zürich-Flughafen,,Zürich,CH,Switzerland,8058,+41 43 816 22 11,47.458218,8.555475,120,https://www.flughafen-zuerich.ch/
0,6876,SLZ,SBSL,Marechal Cunha Machado International Airport,"São Luís, Maranhão, Brazil",3503,Avenida dos Libaneses,,São Luís,Maranhão,BR,Brazil,65056-480,+55 98 3217-6100,-2.5849926,-44.23488,-180,http://www.infraero.gov.br/
0,7359,THE,SBTE,Teresina–Senador Petrônio Portella Airport,"Teresina, Piauí, Brazil",,,,Teresina,Piauí,BR,Brazil,64006-700,+55 86 3133-6270,-5.063463,-42.82119,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-teresina-senador-petronio-portella/
0,1288,CGR,SBCG,Campo Grande International Airport,"Campo Grande, Mato Grosso do Sul, Brazil",s/n,Av. Duque de Caxias,,Campo Grande,Mato Grosso do Sul,BR,Brazil,79101-901,+55 67 3368-6000,-20.468693,-54.67412,-240,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-campo-grande/
0,1028,BVB,SBBV,Boa Vista International Airport,"Boa Vista, Roraima, Brazil",,,,Boa Vista,State of Roraima,BR,Brazil,,+55 95 3198-0144,2.8419237,-60.69259,-240,http://www.infraero.gov.br/
0,6182,PVH,SBPV,Governador Jorge Teixeira de Oliveira International Airport,"Porto Velho, Rondônia, Brazil",S/N,Avenida Governador Jorge Teixeira,,Porto Velho,Rondônia,BR,Brazil,76803-970,+55 69 3219-7450,-8.71417,-63.89832,-240,
0,268,AMS,EHAM,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",202,Evert van de Beekstraat,Schiphol,Haarlemmermeer,Noord-Holland,NL,Netherlands,1118 CP,+31 20 794 0800,52.31054,4.7682743,120,http://www.schiphol.nl/
0,1138,CAC,SBCA,Cascavel Airport (Adalberto Mendes da Silva Airport),"Cascavel, Paraná, Brazil",S/n,Avenida Itelo Webber,,Cascavel,Paraná,BR,Brazil,85804-810,+55 45 3228-2499,-25.001816,-53.50192,-180,http://www.cettrans.com.br/aeroporto.php
0,4642,MGF,SBMG,Sílvio Name Júnior Regional Airport,"Maringá, Paraná, Brazil",S/n,Avenida Doutor Vladimir Babkov,,Maringá,Paraná,BR,Brazil,,+55 44 3366-3838,-23.48028,-52.011982,-180,http://www.aeroportomaringa.com.br/
0,3166,IGU,SBFI,Foz do Iguaçu International Airport,"Foz do Iguaçu, Paraná, Brazil",,,,Foz do Iguaçu,Paraná,BR,Brazil,85863-900,+55 45 3521-4200,-25.59771,-54.488514,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-foz-do-iguacu-cataratas/contato/
0,5426,NVT,SBNF,Navegantes–Ministro Victor Konder International Airport,"Navegantes, Santa Catarina, Brazil",1297,Rua Osmar Gaya,,Navegantes,Santa Catarina,BR,Brazil,88372-900,+55 47 3342-9200,-26.880535,-48.649086,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-navegantes-ministro-victor-konder/
0,8322,XAP,SBCH,Serafin Enoss Bertaso Airport,"Chapecó, Santa Catarina, Brazil",4535D,Acesso Florenal Ribeiro,,Chapecó,Santa Catarina,BR,Brazil,89815-900,+55 49 3322-1034,-27.134077,-52.66066,-180,http://www.chapeco.sc.gov.br/
0,1629,CXJ,SBCX,Caxias do Sul Airport (Hugo Cantergiani Regional Airport),"Caxias do Sul, Rio Grande do Sul, Brazil",3451,Avenida Salgado Filho,,Caxias do Sul,Rio Grande do Sul,BR,Brazil,95098-420,+55 54 3901-1219,-29.19492,-51.18693,-180,http://www.transportes.rs.gov.br/dap
0,5868,PFB,SBPF,Lauro Kurtz Airport,"Passo Fundo, Rio Grande do Sul, Brazil",,Rodovia BR 285,,Passo Fundo,Rio Grande do Sul,BR,Brazil,,+55 54 3313-6566,-28.242554,-52.329823,-180,http://www.passofundo.rs.gov.br/
0,3465,JOI,SBJV,Joinville-Lauro Carneiro de Loyola Airport,"Joinville, Santa Catarina, Brazil",9000,Avenida Santos Dumont,,Joinville,Santa Catarina,BR,Brazil,89223-600,+55 47 3417-4000,-26.224194,-48.801685,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-joinville-lauro-carneiro-de-loyola/
0,6054,PPB,SBDN,Presidente Prudente Airport,"Presidente Prudente, São Paulo, Brazil",s/nº,"Assis Chateaubriand, km 459",,Presidente Prudente,São Paulo,BR,Brazil,19053-680,+55 18 3222-8099,-22.17834,-51.417664,-180,http://www.daesp.sp.gov.br/aeroporto-detalhe/?id=879
0,3354,IZA,SBZM,Presidente Itamar Franco Airport (Zona da Mata Regional Airport),"Juiz de Fora, Minas Gerais, Brazil",S/N,"Rodovia MG 353, Klm 38",,Goianá,Minas Gerais,BR,Brazil,36150-000,+55 32 3274-6200,-21.510195,-43.16205,-180,http://www.cazm.com.br/
0,7740,UDI,SBUL,Ten. Cel. Av. César Bombonato Airport,"Uberlândia, Minas Gerais, Brazil",100,Praça José Alves dos Santos,,Uberlândia,Minas Gerais,BR,Brazil,38406,+55 34 3233-5420,-18.88897,-48.230865,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-uberlandia-ten-cel-aviador-cesar-bombonato/
0,4095,LDB,SBLO,Londrina–Governador José Richa Airport,"Londrina, Paraná, Brazil",300,Rua Tenente João Maurício Medeiros,,Londrina,Paraná,BR,Brazil,86039-100,+55 43 3027-9000,-23.328579,-51.13799,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-londrina-governador-jose-richa/
0,908,BPS,SBPS,Porto Seguro Airport,"Porto Seguro, Bahia, Brazil",68,Rua Primeiro de Maio,,Porto Seguro,Bahia,BR,Brazil,45810-000,+55 73 3288-1880,-16.439308,-39.081562,-180,http://www.aeroportoseguro.com.br/
0,3248,IOS,SBIL,Ilhéus Jorge Amado Airport,"Ilhéus, Bahia, Brazil",S/N,Rua Brigadeiro Eduardo Gomes,,Ilhéus,Bahia,BR,Brazil,45654-070,+55 73 3234-4000,-14.814534,-39.032215,-180,http://ilheusairportjorgeamado.caracolpark.co/
0,3473,JPA,SBJP,Presidente Castro Pinto International Airport,"João Pessoa, Paraíba, Brazil",s/n,Aeroporto Internacional Presidente Castro Pinto,,João Pessoa,Paraíba,BR,Brazil,58308-901,+55 83 3041-4200,-7.146009,-34.948776,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-joao-pessoa-presidente-castro-pinto/
0,3395,JDO,SBJU,Juazeiro do Norte Airport,"Juazeiro do Norte, Ceará, Brazil",4000,Avenida Virgílio Távora,,Juazeiro do Norte,Ceará,BR,Brazil,63020-735,+55 88 3311-6500,-7.2150974,-39.27223,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-juazeiro-do-norte-orlando-bezerra-de-menezes/
0,1491,CPV,SBKG,Campina Grande Airport (Presidente João Suassuna Airport),"Campina Grande, Paraíba, Brazil",S/N,Avenida Uberaba,,Campina Grande,Paraíba,BR,Brazil,58418-410,+55 83 3332-9023,-7.2688785,-35.89402,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-campina-grande-presidente-joao-suassuna
0,4552,MCP,SBMQ,Alberto Alcolumbre International Airport,"Macapá, Amapá, Brazil",S/N,Rua Hildemar Maia,,Macapá,Amapá,BR,Brazil,68908-119,+55 96 3223-2323,0.0500081,-51.06711,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-macapa-alberto-alcolumbre/
0,6003,PMW,SBPJ,Palmas–Brigadeiro Lysias Rodrigues Airport,"Palmas, Tocantins, Brazil",s/n,Avenida Joaquim Teotônio Segurado,,Palmas,Tocantins,BR,Brazil,,+55 63 3219-3700,-10.295659,-48.35811,-180,http://www.infraero.gov.br/
0,1367,CKS,SBCJ,Carajás Airport,"Parauapebas, Pará, Brazil",,,,Parauapebas,Pará,BR,Brazil,68515-000,+55 94 98403-1335,-6.114454,-50.001007,-180,http://www.infraero.gov.br/
0,6294,RBR,SBRB,Plácido de Castro International Airport,"Rio Branco, Acre, Brazil",,,,,,,,,,0,0,0,
0,4487,MAB,SBMA,João Correa da Rocha Airport,"Marabá, Pará, Brazil",,,,Marabá,Pará,BR,Brazil,,+55 94 3324-1383,-5.3715158,-49.13676,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-maraba-joao-correa-da-rocha/
0,1669,CZS,SBCZ,Cruzeiro do Sul International Airport,"Cruzeiro do Sul, Acre, Brazil",,,,Cruzeiro do Sul,Acre,BR,Brazil,69980-970,+55 68 3311-1900,-7.598349,-72.77343,-300,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-cruzeiro-do-sul/
0,2279,FEN,SBFN,Fernando de Noronha Airport (Gov. Carlos Wilson Airport),"Fernando de Noronha, Pernambuco, Brazil",,,,Fernando de Noronha,State of Pernambuco,BR,Brazil,53990-000,,-3.8546145,-32.424385,-120,
0,2761,GVR,SBGV,Coronel Altino Machado de Oliveira Airport,"Governador Valadares, Minas Gerais, Brazil",s/n,Avenida Industrial,,Governador Valadares,Minas Gerais,BR,Brazil,35040-260,+55 33 3277-3935,-18.897291,-41.986973,-180,
0,6269,RAO,SBRP,Leite Lopes Airport,"Ribeirão Preto, São Paulo, Brazil",,Avenida Thomaz Alberto Whately,,Ribeirão Preto,São Paulo,BR,Brazil,14075-390,+55 16 3626-3376,-21.139164,-47.77657,-180,http://www.daesp.sp.gov.br/aeroporto-detalhe/?id=883
0,4435,LVR,SILC,Bom Futuro Municipal Airport[2],"Lucas do Rio Verde, Mato Grosso, Brazil",s/n,Rod MT-449 KM 4,,Lucas do Rio Verde,Mato Grosso,BR,Brazil,78455-000,,-13.034962,-55.942123,-240,
0,410,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia, United States",6000,North Terminal Parkway,Atlanta,,Georgia,US,United States,30320,+1 800-897-1910,33.640728,-84.427704,-240,http://www.atl.com/
0,1956,DXB,OMDB,Dubai International Airport,"Dubai, United Arab Emirates",,,Dubai,,Dubai,AE,United Arab Emirates,,+971 4 224 5555,25.253174,55.365673,240,http://www.dubaiairports.ae/
0,1911,DSS,GOBD,Blaise Diagne International Airport,"Dakar, Senegal",,,Ndiass,,Thiès Region,SN,Senegal,,+221 33 939 69 00,14.670855,-17.067347,0,http://www.dakaraeroport.com/
0,6815,SJP,SBSR,Prof. Eribelto Manoel Reino State Airport,"São José do Rio Preto, São Paulo, Brazil",3505,Avenida dos Estudantes,,São José do Rio Preto,São Paulo,BR,Brazil,15035-010,+55 17 3233-1919,-20.812494,-49.404926,-180,http://www.daesp.sp.gov.br/aeroporto-detalhe/?id=889
0,1105,BYO,SBDB,Bonito Airport,"Bonito, Mato Grosso do Sul, Brazil",s/n,MS-178,,Bonito,Mato Grosso do Sul,BR,Brazil,79290-000,+55 67 3255-3222,-21.243193,-56.44983,-240,http://www.portalbonito.com.br/servicos/informacoes
